id,name,skin,ingredients,price
9336,NightCare 46,Grasa,"Retinol, Glicerina, Ácido Hialurónico, Urea",88.06
9337,NutriGlow 53,Seca,"Ácido Hialurónico, Agua Termal",172.91
9338,BrightFix 224,Madura,"Ácido Ferúlico, Retinol, Zinc, Avena Coloidal",199.6
9339,NutriGlow 28,Madura,"Vitamina C, Glicerina, Ácido Hialurónico, Manteca de Karité",185.03
9340,Daily Moist 275,Sensible,"Manteca de Karité, Ácido Salicílico, Zinc",34.9
9341,DermaFix 123,Grasa,"Peptidos, Ácido Hialurónico, Niacinamida",144.63
9342,CeraPlus 27,Normal,"Vitamina C, Ácido Salicílico",82.92
9343,Fresh Dew 166,Mixta,"Glicerina, Ácido Salicílico, Manteca de Karité, Zinc",53.35
9344,RegenX 77,Seca,"Retinol, Peptidos, Vitamina C, Pantenol",127.71
9345,AgeDefy 134,Mixta,"Avena Coloidal, Pantenol, Extracto de Té Verde",152.02
9346,Clear Skin 245,Seca,"Avena Coloidal, Ácido Ferúlico, Peptidos",196.2
9347,SkinPure 280,Seca,"Pantenol, Avena Coloidal, Ceramidas, Ácido Láctico",100.81
9348,Silky Touch 277,Sensible,"Agua Termal, Extracto de Té Verde, Urea",55.55
9349,RegenX 228,Sensible,"Ácido Ferúlico, Extracto de Té Verde",198.57
9350,Fresh Dew 150,Normal,"Ceramidas, Ácido Hialurónico, Extracto de Té Verde",27.42
9351,RegenX 82,Seca,"Pantenol, Glicerina, Extracto de Té Verde, Avena Coloidal",99.18
9352,Aqua Balm 274,Seca,"Aceite de Jojoba, Glicerina",47.62
9353,OilControl 40,Grasa,"Ácido Ferúlico, Urea, Zinc",190.01
9354,SunShield 248,Madura,"Zinc, Avena Coloidal, Urea",123.51
9355,NightCare 16,Todo tipo,"Peptidos, Ácido Hialurónico, Aceite de Jojoba, Urea",24.52
9356,NightCare 124,Todo tipo,"Agua Termal, Ácido Láctico, Aloe Vera",131.0
9357,DermaFix 63,Madura,"Extracto de Té Verde, Aloe Vera",18.89
9358,SkinPure 217,Normal,"Ácido Ferúlico, Avena Coloidal, Peptidos",34.23
9359,UltraSmooth 233,Madura,"Avena Coloidal, Peptidos",82.02
9360,Radiant Day 30,Grasa,"Zinc, Ácido Salicílico, Ácido Láctico, Ácido Ferúlico",40.82
9361,CeraPlus 109,Seca,"Agua Termal, Aloe Vera, Manteca de Karité",148.74
9362,AgeDefy 56,Mixta,"Ácido Láctico, Retinol, Aceite de Jojoba",84.28
9363,CeraPlus 199,Seca,"Ácido Hialurónico, Peptidos, Ácido Láctico, Pantenol",165.27
9364,Fresh Dew 46,Seca,"Vitamina C, Aloe Vera, Glicerina",17.43
9365,OilControl 76,Normal,"Niacinamida, Ácido Hialurónico, Urea, Pantenol",8.93
9366,Silky Touch 298,Sensible,"Manteca de Karité, Pantenol, Agua Termal",18.9
9367,BrightFix 153,Normal,"Ácido Hialurónico, Ácido Salicílico, Ceramidas, Vitamina C",99.0
9368,CeraPlus 8,Seca,"Zinc, Aceite de Jojoba, Agua Termal, Extracto de Té Verde",41.84
9369,SkinPure 291,Mixta,"Ácido Salicílico, Glicerina, Pantenol",23.38
9370,BrightFix 59,Sensible,"Pantenol, Zinc, Peptidos",198.0
9371,Radiant Day 45,Todo tipo,"Aloe Vera, Ácido Hialurónico, Manteca de Karité, Peptidos",57.56
9372,UltraSmooth 2,Todo tipo,"Pantenol, Ácido Láctico",154.03
9373,Radiant Day 147,Normal,"Ceramidas, Ácido Láctico",9.51
9374,Silky Touch 291,Seca,"Manteca de Karité, Aloe Vera, Vitamina C",121.22
9375,RegenX 146,Madura,"Retinol, Niacinamida, Manteca de Karité",29.51
9376,Silky Touch 89,Seca,"Aloe Vera, Aceite de Jojoba, Zinc, Ácido Hialurónico",73.82
9377,AgeDefy 292,Madura,"Ácido Láctico, Manteca de Karité",9.64
9378,AcneFree 142,Acneica,"Ceramidas, Avena Coloidal",156.51
9379,Silky Touch 92,Mixta,"Zinc, Vitamina C, Aloe Vera",75.88
9380,Daily Moist 117,Acneica,"Vitamina C, Zinc, Retinol",120.71
9381,SunShield 261,Normal,"Avena Coloidal, Agua Termal",43.69
9382,NightCare 4,Todo tipo,"Retinol, Agua Termal, Vitamina C, Extracto de Té Verde",87.78
9383,CeraPlus 261,Acneica,"Extracto de Té Verde, Pantenol, Aceite de Jojoba, Vitamina C",72.41
9384,NutriGlow 286,Todo tipo,"Glicerina, Pantenol",154.35
9385,DermaFix 196,Seca,"Vitamina C, Manteca de Karité, Retinol, Avena Coloidal",8.94
9386,NutriGlow 250,Sensible,"Ceramidas, Aloe Vera, Extracto de Té Verde, Ácido Hialurónico",145.84
9387,Fresh Dew 257,Normal,"Ácido Láctico, Niacinamida",126.75
9388,AcneFree 103,Grasa,"Glicerina, Peptidos",113.1
9389,AcneFree 144,Todo tipo,"Zinc, Urea, Manteca de Karité, Ácido Ferúlico",94.38
9390,Glow Serum 160,Madura,"Extracto de Té Verde, Urea, Ácido Salicílico, Aloe Vera",182.64
9391,AcneFree 5,Normal,"Aloe Vera, Ácido Salicílico, Agua Termal, Ácido Ferúlico",175.0
9392,AgeDefy 11,Seca,"Peptidos, Ácido Salicílico",38.21
9393,OilControl 76,Acneica,"Urea, Aloe Vera, Ácido Hialurónico, Pantenol",30.84
9394,NightCare 3,Sensible,"Ácido Ferúlico, Vitamina C, Pantenol, Ácido Hialurónico",109.98
9395,AcneFree 199,Madura,"Ácido Ferúlico, Peptidos, Glicerina",190.85
9396,SkinPure 240,Acneica,"Extracto de Té Verde, Avena Coloidal",158.72
9397,SunShield 109,Grasa,"Zinc, Avena Coloidal",134.66
9398,Hydra Boost 243,Seca,"Ácido Salicílico, Ácido Láctico, Aceite de Jojoba",192.54
9399,NightCare 254,Mixta,"Urea, Peptidos",161.51
9400,UltraSmooth 139,Todo tipo,"Pantenol, Ceramidas, Retinol, Manteca de Karité",36.8
9401,UltraSmooth 159,Todo tipo,"Manteca de Karité, Ceramidas, Ácido Ferúlico, Niacinamida",156.89
9402,Silky Touch 27,Normal,"Vitamina C, Ceramidas, Ácido Láctico, Peptidos",93.83
9403,BrightFix 41,Madura,"Niacinamida, Peptidos, Glicerina, Retinol",104.68
9404,Hydra Boost 252,Acneica,"Pantenol, Aloe Vera",55.4
9405,SkinPure 61,Acneica,"Peptidos, Ácido Láctico, Vitamina C",194.86
9406,RegenX 232,Grasa,"Ácido Láctico, Extracto de Té Verde",36.62
9407,CeraPlus 184,Sensible,"Pantenol, Avena Coloidal",176.63
9408,NightCare 145,Grasa,"Zinc, Niacinamida, Ácido Ferúlico",153.07
9409,Glow Serum 44,Seca,"Extracto de Té Verde, Urea",36.01
9410,AgeDefy 5,Grasa,"Retinol, Ácido Ferúlico, Ácido Hialurónico",129.28
9411,DermaFix 42,Sensible,"Ceramidas, Peptidos, Ácido Ferúlico",138.38
9412,Clear Skin 150,Sensible,"Urea, Niacinamida, Agua Termal",34.19
9413,AgeDefy 250,Seca,"Vitamina C, Peptidos, Zinc",69.53
9414,SkinPure 17,Sensible,"Niacinamida, Glicerina, Retinol, Zinc",140.23
9415,RegenX 199,Mixta,"Peptidos, Zinc, Ceramidas",88.75
9416,OilControl 276,Grasa,"Peptidos, Manteca de Karité, Extracto de Té Verde, Ácido Láctico",96.79
9417,Hydra Boost 32,Seca,"Retinol, Agua Termal, Ceramidas",187.09
9418,Clear Skin 20,Todo tipo,"Niacinamida, Aceite de Jojoba, Urea",60.65
9419,Clear Skin 237,Todo tipo,"Ácido Hialurónico, Agua Termal",8.81
9420,UltraSmooth 1,Madura,"Aloe Vera, Glicerina",131.62
9421,AcneFree 294,Grasa,"Avena Coloidal, Aloe Vera, Ácido Ferúlico, Extracto de Té Verde",49.96
9422,SunShield 58,Grasa,"Aceite de Jojoba, Pantenol, Glicerina, Niacinamida",55.21
9423,SkinPure 270,Sensible,"Manteca de Karité, Aceite de Jojoba",156.43
9424,Radiant Day 102,Madura,"Ácido Hialurónico, Aceite de Jojoba, Pantenol, Urea",137.79
9425,AcneFree 191,Seca,"Avena Coloidal, Aceite de Jojoba",10.12
9426,NightCare 106,Madura,"Ácido Salicílico, Retinol, Agua Termal",197.63
9427,BrightFix 177,Sensible,"Extracto de Té Verde, Niacinamida",131.36
9428,SkinPure 188,Grasa,"Ácido Hialurónico, Ácido Ferúlico, Zinc",177.8
9429,AgeDefy 198,Sensible,"Aceite de Jojoba, Avena Coloidal, Niacinamida, Ácido Hialurónico",109.73
9430,Hydra Boost 53,Acneica,"Ácido Salicílico, Manteca de Karité",150.94
9431,AgeDefy 179,Grasa,"Urea, Vitamina C, Avena Coloidal, Extracto de Té Verde",166.46
9432,Hydra Boost 83,Normal,"Niacinamida, Retinol, Ácido Láctico, Ácido Ferúlico",59.66
9433,UltraSmooth 130,Grasa,"Ácido Láctico, Avena Coloidal, Ácido Salicílico",166.45
9434,AgeDefy 108,Normal,"Urea, Ácido Láctico, Extracto de Té Verde",182.63
9435,CeraPlus 88,Todo tipo,"Niacinamida, Aceite de Jojoba",171.49
9436,Fresh Dew 275,Normal,"Ácido Hialurónico, Urea, Ácido Ferúlico, Retinol",81.71
9437,Clear Skin 6,Seca,"Ácido Hialurónico, Zinc, Aceite de Jojoba, Ácido Láctico",48.45
9438,Daily Moist 28,Madura,"Extracto de Té Verde, Ácido Láctico",35.28
9439,Fresh Dew 237,Grasa,"Manteca de Karité, Ácido Salicílico, Ácido Láctico",159.67
9440,OilControl 155,Acneica,"Extracto de Té Verde, Vitamina C, Ácido Ferúlico",154.88
9441,Daily Moist 38,Grasa,"Ácido Láctico, Aceite de Jojoba, Niacinamida, Retinol",155.89
9442,CeraPlus 118,Grasa,"Retinol, Agua Termal",91.85
9443,CeraPlus 195,Todo tipo,"Urea, Aloe Vera, Ácido Ferúlico, Extracto de Té Verde",100.99
9444,UltraSmooth 234,Todo tipo,"Retinol, Ácido Salicílico, Aloe Vera, Ceramidas",160.62
9445,NutriGlow 34,Sensible,"Peptidos, Avena Coloidal",47.6
9446,Fresh Dew 31,Acneica,"Aceite de Jojoba, Urea, Manteca de Karité, Extracto de Té Verde",175.21
9447,SunShield 274,Grasa,"Ácido Ferúlico, Retinol",126.32
9448,NutriGlow 91,Seca,"Aloe Vera, Glicerina, Pantenol, Urea",117.88
9449,RegenX 62,Mixta,"Ácido Ferúlico, Ácido Salicílico",105.36
9450,SkinPure 139,Seca,"Ácido Salicílico, Aloe Vera, Niacinamida",146.54
9451,AcneFree 165,Sensible,"Extracto de Té Verde, Ácido Hialurónico",103.91
9452,Radiant Day 212,Seca,"Niacinamida, Aceite de Jojoba, Ácido Láctico, Glicerina",131.37
9453,Aqua Balm 197,Seca,"Peptidos, Zinc, Ácido Salicílico, Manteca de Karité",84.21
9454,Glow Serum 156,Normal,"Aloe Vera, Agua Termal, Urea",114.2
9455,Daily Moist 221,Acneica,"Pantenol, Zinc, Agua Termal, Aloe Vera",66.2
9456,BrightFix 261,Todo tipo,"Extracto de Té Verde, Ácido Ferúlico, Zinc",114.79
9457,CeraPlus 79,Normal,"Ácido Ferúlico, Ácido Salicílico, Peptidos, Pantenol",84.26
9458,OilControl 184,Normal,"Glicerina, Agua Termal, Aceite de Jojoba, Zinc",117.78
9459,CeraPlus 162,Madura,"Ceramidas, Ácido Hialurónico, Ácido Ferúlico, Urea",142.38
9460,Fresh Dew 258,Grasa,"Manteca de Karité, Peptidos, Vitamina C, Retinol",10.14
9461,NutriGlow 133,Sensible,"Ceramidas, Zinc, Manteca de Karité",33.09
9462,NightCare 104,Grasa,"Manteca de Karité, Aloe Vera, Ceramidas",111.08
9463,NutriGlow 158,Madura,"Ácido Salicílico, Ácido Hialurónico, Avena Coloidal",191.29
9464,SunShield 216,Acneica,"Retinol, Ácido Hialurónico, Avena Coloidal, Peptidos",37.69
9465,UltraSmooth 261,Madura,"Pantenol, Vitamina C, Manteca de Karité",133.71
9466,Daily Moist 161,Mixta,"Niacinamida, Glicerina, Ácido Ferúlico, Zinc",151.74
9467,SkinPure 154,Mixta,"Pantenol, Ácido Hialurónico, Retinol",63.1
9468,Radiant Day 231,Todo tipo,"Retinol, Ácido Hialurónico",191.88
9469,CeraPlus 191,Sensible,"Vitamina C, Retinol",86.62
9470,BrightFix 213,Sensible,"Avena Coloidal, Ácido Láctico",118.82
9471,Silky Touch 7,Acneica,"Aloe Vera, Zinc, Ácido Láctico",88.21
9472,SunShield 129,Todo tipo,"Pantenol, Zinc, Ácido Láctico, Glicerina",112.24
9473,AgeDefy 54,Seca,"Avena Coloidal, Urea",40.49
9474,CeraPlus 266,Grasa,"Glicerina, Agua Termal, Avena Coloidal",59.1
9475,BrightFix 107,Seca,"Ácido Láctico, Ácido Hialurónico",67.72
9476,Daily Moist 249,Todo tipo,"Aloe Vera, Ácido Salicílico, Ácido Láctico",10.82
9477,SkinPure 105,Madura,"Urea, Pantenol, Agua Termal",173.26
9478,NutriGlow 199,Sensible,"Vitamina C, Zinc",51.99
9479,Radiant Day 115,Todo tipo,"Ácido Hialurónico, Peptidos",21.66
9480,Daily Moist 53,Seca,"Ácido Ferúlico, Pantenol, Aloe Vera",153.83
9481,Radiant Day 24,Seca,"Niacinamida, Ácido Láctico, Manteca de Karité",129.26
9482,NutriGlow 300,Seca,"Avena Coloidal, Manteca de Karité",130.16
9483,BrightFix 102,Grasa,"Zinc, Ácido Hialurónico, Extracto de Té Verde, Glicerina",23.41
9484,SkinPure 38,Madura,"Manteca de Karité, Glicerina, Aceite de Jojoba",74.72
9485,OilControl 249,Todo tipo,"Manteca de Karité, Zinc, Glicerina, Urea",188.87
9486,Hydra Boost 277,Madura,"Niacinamida, Extracto de Té Verde, Retinol, Glicerina",155.77
9487,RegenX 279,Sensible,"Ceramidas, Agua Termal",144.7
9488,NightCare 27,Todo tipo,"Glicerina, Ácido Ferúlico",38.35
9489,SkinPure 107,Acneica,"Vitamina C, Glicerina, Ácido Ferúlico",13.48
9490,SkinPure 267,Todo tipo,"Niacinamida, Glicerina, Aceite de Jojoba, Vitamina C",51.09
9491,Fresh Dew 130,Seca,"Pantenol, Niacinamida",195.5
9492,UltraSmooth 148,Madura,"Extracto de Té Verde, Ácido Ferúlico",164.57
9493,AgeDefy 169,Todo tipo,"Peptidos, Zinc, Vitamina C, Ácido Láctico",37.59
9494,Glow Serum 104,Madura,"Pantenol, Ácido Ferúlico",182.52
9495,OilControl 21,Sensible,"Pantenol, Ceramidas",172.67
9496,NightCare 158,Mixta,"Vitamina C, Ácido Láctico",32.58
9497,BrightFix 259,Acneica,"Extracto de Té Verde, Ácido Láctico",35.84
9498,Daily Moist 260,Madura,"Retinol, Avena Coloidal",130.76
9499,Hydra Boost 225,Seca,"Ácido Ferúlico, Ceramidas, Vitamina C, Peptidos",7.34
9500,NutriGlow 97,Sensible,"Peptidos, Niacinamida, Avena Coloidal",107.19
9501,Glow Serum 275,Sensible,"Avena Coloidal, Aloe Vera",42.55
9502,Hydra Boost 231,Madura,"Retinol, Glicerina, Aloe Vera, Agua Termal",167.26
9503,NightCare 39,Mixta,"Glicerina, Zinc, Urea",61.03
9504,Glow Serum 277,Normal,"Urea, Niacinamida, Manteca de Karité",14.83
9505,Silky Touch 279,Acneica,"Peptidos, Aloe Vera",36.6
9506,Clear Skin 220,Sensible,"Extracto de Té Verde, Pantenol, Agua Termal, Aceite de Jojoba",121.26
9507,Aqua Balm 111,Todo tipo,"Agua Termal, Urea",180.15
9508,Clear Skin 187,Normal,"Ceramidas, Ácido Láctico, Peptidos",138.87
9509,SkinPure 183,Madura,"Ácido Hialurónico, Manteca de Karité, Vitamina C, Aloe Vera",89.57
9510,Fresh Dew 198,Seca,"Ácido Láctico, Extracto de Té Verde",142.11
9511,Glow Serum 153,Madura,"Zinc, Peptidos",187.74
9512,NightCare 120,Normal,"Extracto de Té Verde, Agua Termal",175.77
9513,OilControl 148,Sensible,"Zinc, Glicerina, Extracto de Té Verde",55.57
9514,Aqua Balm 234,Normal,"Retinol, Ácido Ferúlico",45.38
9515,OilControl 120,Mixta,"Zinc, Manteca de Karité, Avena Coloidal, Aloe Vera",112.25
9516,Silky Touch 18,Mixta,"Retinol, Peptidos, Aceite de Jojoba, Manteca de Karité",29.11
9517,Silky Touch 148,Todo tipo,"Ácido Salicílico, Avena Coloidal",176.06
9518,OilControl 230,Todo tipo,"Pantenol, Ácido Salicílico, Ceramidas",79.82
9519,Daily Moist 204,Todo tipo,"Ácido Ferúlico, Aloe Vera, Retinol, Zinc",171.52
9520,UltraSmooth 37,Todo tipo,"Extracto de Té Verde, Ácido Láctico",174.35
9521,RegenX 165,Normal,"Vitamina C, Extracto de Té Verde, Ácido Salicílico",133.35
9522,OilControl 289,Madura,"Zinc, Ácido Láctico, Retinol",158.98
9523,SunShield 117,Grasa,"Aloe Vera, Zinc, Pantenol",151.59
9524,AgeDefy 292,Todo tipo,"Zinc, Ácido Salicílico",153.94
9525,SunShield 117,Acneica,"Manteca de Karité, Aceite de Jojoba",41.46
9526,Daily Moist 99,Grasa,"Agua Termal, Ácido Ferúlico",23.38
9527,BrightFix 47,Madura,"Vitamina C, Aceite de Jojoba",196.45
9528,CeraPlus 238,Todo tipo,"Urea, Ácido Salicílico",33.2
9529,CeraPlus 120,Grasa,"Aloe Vera, Zinc, Ácido Ferúlico",68.66
9530,NutriGlow 242,Sensible,"Ácido Hialurónico, Ceramidas",142.94
9531,Silky Touch 63,Mixta,"Retinol, Ácido Salicílico, Manteca de Karité",39.44
9532,Hydra Boost 34,Sensible,"Peptidos, Ácido Hialurónico, Pantenol, Avena Coloidal",63.32
9533,RegenX 96,Mixta,"Niacinamida, Peptidos, Glicerina",55.93
9534,Silky Touch 269,Normal,"Aceite de Jojoba, Zinc, Ácido Ferúlico, Extracto de Té Verde",44.29
9535,NutriGlow 184,Todo tipo,"Pantenol, Ácido Hialurónico, Ácido Láctico",7.74
9536,Silky Touch 143,Madura,"Urea, Vitamina C",114.75
9537,Daily Moist 289,Normal,"Ácido Láctico, Aceite de Jojoba, Pantenol, Ácido Ferúlico",62.0
9538,Silky Touch 56,Seca,"Retinol, Ácido Hialurónico",100.36
9539,Fresh Dew 137,Grasa,"Ácido Ferúlico, Ácido Láctico, Extracto de Té Verde",186.29
9540,Fresh Dew 20,Todo tipo,"Ceramidas, Aceite de Jojoba, Extracto de Té Verde, Urea",23.85
9541,BrightFix 62,Mixta,"Avena Coloidal, Extracto de Té Verde, Aceite de Jojoba",104.63
9542,Glow Serum 63,Normal,"Agua Termal, Niacinamida, Urea",147.47
9543,Aqua Balm 281,Sensible,"Manteca de Karité, Aceite de Jojoba, Extracto de Té Verde",151.99
9544,NightCare 241,Madura,"Zinc, Glicerina, Vitamina C, Agua Termal",137.79
9545,Silky Touch 298,Seca,"Extracto de Té Verde, Ácido Láctico, Urea, Zinc",45.85
9546,AcneFree 227,Madura,"Agua Termal, Ácido Ferúlico, Extracto de Té Verde",49.05
9547,Clear Skin 23,Seca,"Pantenol, Ácido Ferúlico, Agua Termal, Peptidos",195.58
9548,DermaFix 300,Sensible,"Glicerina, Urea, Niacinamida, Agua Termal",30.92
9549,DermaFix 168,Grasa,"Ácido Ferúlico, Manteca de Karité, Glicerina, Pantenol",31.69
9550,UltraSmooth 295,Sensible,"Agua Termal, Manteca de Karité, Urea",66.38
9551,BrightFix 126,Grasa,"Aloe Vera, Ceramidas",27.49
9552,BrightFix 102,Mixta,"Manteca de Karité, Ácido Hialurónico",83.85
9553,CeraPlus 35,Acneica,"Zinc, Ácido Ferúlico",63.49
9554,Hydra Boost 151,Seca,"Retinol, Pantenol, Ceramidas",30.63
9555,UltraSmooth 219,Seca,"Ácido Ferúlico, Ceramidas, Ácido Hialurónico",90.07
9556,OilControl 152,Mixta,"Zinc, Manteca de Karité",21.08
9557,OilControl 196,Grasa,"Pantenol, Avena Coloidal",119.88
9558,SkinPure 126,Madura,"Glicerina, Ácido Hialurónico, Aceite de Jojoba, Peptidos",68.11
9559,NightCare 239,Sensible,"Avena Coloidal, Ácido Ferúlico",95.13
9560,UltraSmooth 226,Normal,"Extracto de Té Verde, Agua Termal",188.36
9561,CeraPlus 84,Normal,"Retinol, Pantenol, Ácido Hialurónico, Zinc",89.75
9562,Glow Serum 124,Todo tipo,"Niacinamida, Extracto de Té Verde, Aloe Vera, Agua Termal",38.25
9563,RegenX 268,Madura,"Aceite de Jojoba, Aloe Vera",180.61
9564,AgeDefy 25,Acneica,"Agua Termal, Ácido Ferúlico, Peptidos, Glicerina",175.37
9565,AcneFree 37,Madura,"Glicerina, Ácido Salicílico, Ceramidas",155.94
9566,UltraSmooth 87,Todo tipo,"Aloe Vera, Ceramidas, Glicerina, Ácido Salicílico",189.71
9567,Silky Touch 146,Normal,"Avena Coloidal, Peptidos, Ácido Ferúlico",115.42
9568,SunShield 81,Sensible,"Ácido Ferúlico, Niacinamida, Ácido Hialurónico",141.94
9569,DermaFix 203,Mixta,"Aceite de Jojoba, Ácido Láctico, Urea",107.65
9570,DermaFix 166,Todo tipo,"Agua Termal, Ácido Ferúlico, Zinc",74.19
9571,Silky Touch 94,Mixta,"Ácido Hialurónico, Aceite de Jojoba",8.2
9572,NutriGlow 184,Acneica,"Zinc, Niacinamida, Aloe Vera, Urea",112.61
9573,AcneFree 59,Normal,"Agua Termal, Aceite de Jojoba, Aloe Vera, Ácido Ferúlico",43.61
9574,Daily Moist 41,Grasa,"Aloe Vera, Ácido Ferúlico, Ceramidas, Retinol",163.37
9575,Glow Serum 226,Madura,"Ácido Hialurónico, Urea, Peptidos",143.1
9576,SunShield 172,Mixta,"Peptidos, Vitamina C, Aloe Vera, Retinol",173.8
9577,Radiant Day 106,Grasa,"Ácido Ferúlico, Ácido Hialurónico, Agua Termal, Niacinamida",130.61
9578,UltraSmooth 270,Madura,"Extracto de Té Verde, Urea, Peptidos, Pantenol",107.67
9579,OilControl 34,Grasa,"Manteca de Karité, Ácido Hialurónico",83.74
9580,BrightFix 74,Sensible,"Ceramidas, Retinol, Avena Coloidal",23.25
9581,Glow Serum 197,Seca,"Ceramidas, Ácido Ferúlico",70.28
9582,UltraSmooth 14,Acneica,"Ácido Láctico, Zinc, Avena Coloidal",36.8
9583,Aqua Balm 186,Todo tipo,"Niacinamida, Ácido Láctico, Peptidos",139.97
9584,RegenX 5,Mixta,"Ácido Hialurónico, Ácido Láctico, Aloe Vera, Urea",143.76
9585,Clear Skin 157,Seca,"Avena Coloidal, Manteca de Karité, Ácido Hialurónico, Aceite de Jojoba",132.5
9586,Silky Touch 116,Seca,"Pantenol, Ácido Hialurónico",196.89
9587,AcneFree 14,Grasa,"Aceite de Jojoba, Zinc, Retinol",81.75
9588,AcneFree 212,Sensible,"Ácido Salicílico, Aloe Vera",20.86
9589,Clear Skin 248,Acneica,"Ácido Hialurónico, Glicerina, Niacinamida",13.39
9590,SunShield 122,Seca,"Vitamina C, Ceramidas, Glicerina, Zinc",154.57
9591,NutriGlow 178,Sensible,"Ácido Hialurónico, Aceite de Jojoba",195.45
9592,UltraSmooth 133,Sensible,"Pantenol, Extracto de Té Verde, Ácido Salicílico",5.03
9593,DermaFix 244,Madura,"Manteca de Karité, Zinc, Vitamina C, Ácido Láctico",127.23
9594,SunShield 69,Seca,"Extracto de Té Verde, Avena Coloidal, Peptidos, Ácido Láctico",191.36
9595,UltraSmooth 74,Madura,"Ácido Ferúlico, Peptidos, Pantenol, Retinol",138.76
9596,NutriGlow 29,Grasa,"Zinc, Avena Coloidal, Retinol, Ceramidas",30.22
9597,NutriGlow 46,Mixta,"Aloe Vera, Ácido Ferúlico, Aceite de Jojoba",133.04
9598,Silky Touch 266,Normal,"Aloe Vera, Avena Coloidal, Pantenol",64.11
9599,Fresh Dew 175,Mixta,"Glicerina, Extracto de Té Verde",185.03
9600,RegenX 168,Seca,"Aloe Vera, Vitamina C, Manteca de Karité, Ácido Hialurónico",117.03
9601,SunShield 262,Sensible,"Peptidos, Ácido Hialurónico, Niacinamida, Manteca de Karité",32.09
9602,Fresh Dew 142,Sensible,"Zinc, Retinol, Ácido Ferúlico",176.5
9603,Silky Touch 221,Todo tipo,"Vitamina C, Aceite de Jojoba, Manteca de Karité",115.63
9604,Glow Serum 35,Todo tipo,"Zinc, Ácido Ferúlico",96.6
9605,UltraSmooth 149,Todo tipo,"Peptidos, Ácido Ferúlico, Niacinamida, Ácido Salicílico",115.8
9606,BrightFix 13,Todo tipo,"Ácido Láctico, Agua Termal, Glicerina",94.39
9607,AgeDefy 70,Acneica,"Glicerina, Ácido Hialurónico, Pantenol, Zinc",191.25
9608,CeraPlus 250,Mixta,"Aloe Vera, Ceramidas",22.34
9609,SunShield 85,Mixta,"Peptidos, Aloe Vera, Glicerina",52.59
9610,Aqua Balm 223,Mixta,"Ácido Salicílico, Ácido Láctico, Peptidos, Vitamina C",21.71
9611,Daily Moist 171,Acneica,"Ácido Láctico, Extracto de Té Verde, Manteca de Karité",18.8
9612,SunShield 216,Madura,"Pantenol, Manteca de Karité, Aloe Vera, Aceite de Jojoba",158.48
9613,Fresh Dew 169,Acneica,"Zinc, Pantenol, Ácido Salicílico, Vitamina C",39.65
9614,Clear Skin 72,Normal,"Pantenol, Vitamina C",24.95
9615,Daily Moist 284,Normal,"Glicerina, Zinc, Ceramidas, Urea",90.37
9616,Daily Moist 175,Sensible,"Ácido Láctico, Ácido Ferúlico",127.22
9617,OilControl 245,Acneica,"Retinol, Aloe Vera",103.1
9618,UltraSmooth 23,Madura,"Vitamina C, Ácido Láctico, Aloe Vera, Extracto de Té Verde",170.19
9619,AcneFree 282,Normal,"Aloe Vera, Glicerina",46.48
9620,AgeDefy 111,Sensible,"Ceramidas, Avena Coloidal, Glicerina",138.87
9621,AgeDefy 54,Madura,"Ácido Salicílico, Ceramidas, Retinol",25.42
9622,Glow Serum 264,Acneica,"Ácido Salicílico, Avena Coloidal, Ácido Hialurónico",71.88
9623,AgeDefy 31,Acneica,"Retinol, Aceite de Jojoba, Avena Coloidal",136.85
9624,UltraSmooth 55,Acneica,"Manteca de Karité, Ácido Láctico",141.9
9625,NutriGlow 82,Sensible,"Aceite de Jojoba, Extracto de Té Verde",195.62
9626,AcneFree 295,Mixta,"Niacinamida, Vitamina C",79.99
9627,BrightFix 23,Sensible,"Glicerina, Vitamina C",67.66
9628,Glow Serum 238,Mixta,"Urea, Aceite de Jojoba, Manteca de Karité, Retinol",121.36
9629,CeraPlus 210,Sensible,"Avena Coloidal, Ácido Láctico, Agua Termal, Retinol",119.59
9630,RegenX 236,Normal,"Aceite de Jojoba, Ácido Hialurónico",35.76
9631,Glow Serum 141,Todo tipo,"Retinol, Ácido Ferúlico, Agua Termal, Peptidos",35.03
9632,AcneFree 204,Normal,"Aceite de Jojoba, Ácido Láctico, Ácido Ferúlico",138.35
9633,Silky Touch 296,Mixta,"Niacinamida, Ácido Ferúlico",26.66
9634,Glow Serum 171,Seca,"Ácido Hialurónico, Aloe Vera",98.2
9635,RegenX 256,Seca,"Extracto de Té Verde, Vitamina C, Ceramidas",133.43
9636,Hydra Boost 172,Normal,"Avena Coloidal, Manteca de Karité, Niacinamida, Ácido Hialurónico",80.37
9637,SunShield 289,Normal,"Manteca de Karité, Ácido Salicílico",35.36
9638,SkinPure 261,Mixta,"Agua Termal, Ácido Láctico, Manteca de Karité, Niacinamida",193.62
9639,Silky Touch 300,Sensible,"Niacinamida, Vitamina C, Ceramidas",70.09
9640,Radiant Day 43,Sensible,"Ácido Láctico, Pantenol, Ácido Hialurónico, Vitamina C",121.34
9641,Hydra Boost 220,Madura,"Retinol, Peptidos, Ácido Salicílico, Glicerina",80.95
9642,Radiant Day 37,Normal,"Glicerina, Ácido Ferúlico, Agua Termal, Vitamina C",146.12
